_id,Date,Location,Operator,PlaneType,Dead,Aboard,Ground
304,24-01-1933,"Eugene, Oregon",Pacific Air Transport,Ford 5-AT-D,1,3,0
305,11-03-1933,"Near Mendoza, Argentina",Pan American Grace Airways,Fairchild FC-2W,2,2,0
306,25-03-1933,"Hayward, California",Varney Airlines,Lockheed Orion 9,3,3,11
307,28-03-1933,"Near Dixmude, Belgium",Imperial Airways,Armstrong Whitworth Argosy II,15,15,0
308,03-04-1933,"Hemkenrode, Germany",Deutsche Lufthansa,Junkers F-13,1,2,0
309,04-04-1933,"Off Barnegat, New Jersey",Military - U.S. Navy,Goodyear-Zeppelin U.S.S. Akron (airship),73,76,0
310,23-04-1933,"Near Castrovillari, Calabria, Italy",Air Orient,Cams 53-1,5,8,0
311,29-04-1933,"Traunstein, Germany",Eurasia,Junkers W-34,4,4,0
312,09-05-1933,"Near Viladrau, Spain",Aeropostale - La Tecoere Company,Latecoere 28-1,6,6,0
313,02-06-1933,"Bowling Green, Virginia",Eastern Air Transport,Pitcairns PA-6,1,1,0
314,11-06-1933,"Glenview, Illinois",Palwaukee,Sikorsky S-38B (flying boat),9,9,0
315,18-07-1933,Aegean Sea,Societa Anonima Aero Expresso Italiana,CMASA Wal (flying boat),6,6,0
316,29-08-1933,"Quay, New Mexico",Trans Continental and Western Air,Ford 5-AT-B Tri Motor,5,5,0
317,12-09-1933,"Near Ljubljana, Yugoslavia",Aeroput,Farman F-306,8,8,0
318,10-10-1933,"Chesterton, Indiana",United Air Lines,Boeing 247-D,10,10,0
319,31-10-1933,"Etobon, France",Air France,Farman F-301,2,2,0
320,09-11-1933,"Portland, Oregon",United Air Lines,Boeing 247,4,9,NA
321,10-11-1933,"Moriarty, New Mexico",Trans Continental and Western Air,Northrop Delta,1,1,0
322,20-11-1933,"Near Tsinan, China",China National Aviation Corporation,Sinson,8,8,NA
323,21-11-1933,"Near Kharkov, Ukraine, USSR",Kalinin,Kalinin K-7,14,20,0
324,24-11-1933,"Wedron, Illinois",National Air Transport,Boeing 247,2,2,0
325,11-12-1933,"Hamburg, Germany",Deutsche Lufthansa,Focke-Wulf A-17,6,10,0
326,14-12-1933,"Eshowe, South Africa",Union Airways,Junkers W-34,4,6,0
327,30-12-1933,"Near Ruysselede, Belgium",Imperial Airways,Avro 10,10,10,0
328,15-01-1934,"Corbigny, France",Air France,Dewoitine D-332,14,14,0
329,20-01-1934,"Carombe, France",Air France,Breguet 280T,2,2,0
330,23-02-1934,"Near Salt Lake City, Utah",Boeing Aircraft Company,Boeing 247,8,8,0
331,26-02-1934,"Rio de Oro, Morocco",Air France,Lat????co????re 28,1,6,0
332,06-03-1934,"Petersburg, Illinois",American Airways,Fairchild Pilgrim 100A,4,4,0
333,10-03-1934,"Pereira, Colombia",Pan American Airways (Scadta),Sikorsky S-38 Flying Boat,5,6,0
334,22-03-1934,"Near Lima, Peru",Pan American Grace Airlines,Ford 5-AT-C Tri-Motor,3,15,0
335,10-04-1934,"Ningpo Bay, China",China National Aviation Corporation,Sikorsky S-38BB,3,3,0
336,09-05-1934,English Channel,Air France,Wibault 282T-12,6,6,0
337,31-05-1934,"Croydon, England",Air France,Liore-et-Olivier 213,2,2,0
338,09-06-1934,"Mongaup Mountain, New York",American Airways,Curtiss Condor T-32,7,7,0
339,11-06-1934,"Junin, Argentina",Panagra,Ford 5-AT-C Tri-Motor,5,10,0
340,22-06-1934,"Chausseehausen, Germany",Deutsche Lufthansa,Dornier Merkur,1,7,0
341,23-06-1934,"Burbank, California",Aerevias Centrales Air Service,Lockheed Orion,1,1,0
342,09-07-1934,"San Bernardino, California",United Air Services,Lockheed Vega,3,4,0
343,27-07-1934,"Near Tuttlingen, Germany",Swissair,Curtiss AT-32C Condor,12,12,0
344,05-08-1934,"Bahia, Brazil",Air France,Latecoere 26,2,2,0
345,10-08-1934,"Ningbo, China",China National Aviation Corporation,Sikorsky S-38B,NA,NA,NA
346,31-08-1934,"Amazonia, Missouri",Rapid Air Transport,Stinson  SM-6000B,5,5,0
347,02-10-1934,English Channel,Hillman Airways,de havilland 89 Dragon Rapide,7,7,0
348,03-10-1934,"Near Winton, Australia",Qantas,de Havilland DH-50A,3,3,0
349,19-10-1934,"Bass Strait, Australia",Holyman Airways,de Havilland DH-86,11,11,0
350,02-11-1934,"Kiapit, Australia",Holdens Air Transport Service,De Havilland DH-61,2,4,0
351,15-11-1934,"Near Longreach, Australia",Qantas,de Havilland DH-86,4,4,0
352,15-11-1934,"Amazonia, Montana",Rapid Air Transport,Stinson SM-6000-B,2,2,0
353,07-12-1934,"Salchau, Germany",Deutsche Lufthansa,Junkers F-13,3,3,0
354,08-12-1934,"Columbia, Missouri",Braniff Airlines,Lockheed Vega 5C,1,1,0
355,10-12-1934,"Palma Soriano, Cuba",Cubana de Aviacion,Ford 4-AT-E Tri-motor,4,8,0
356,20-12-1934,"Rutbah Wells, Syria",KLM Royal Dutch Airlines,Douglas DC-2-115A,7,7,0
357,22-12-1934,"Sunbright, Tennessee",American Airlines,Lockheed Orion 9D,1,1,0
358,26-01-1935,"Pittsburgh, Pennsylvania",Trans Continental and Western Air,Consolidated Fleetster,1,1,0
359,31-01-1935,"Stettin, Germany",Deruluft,Junkers JU-52/3m,11,11,0
360,07-03-1935,"Schievelbein, Germany",Deruluft,Rochrbach Roland,3,NA,0
361,15-03-1935,"El Arish, Egypt",Misrair,de Havilland Dragon 1,3,6,0
362,29-03-1935,"Off Samland, Germany",Deutsche Lufthansa,Junkers F-13,5,5,0
363,01-04-1935,"Beauvais, France",Air France,Farman F-300,1,3,0
364,06-04-1935,"Brilon, Germany",KLM Royal Dutch Airlines,Fokker F-12,7,7,0
365,01-05-1935,"Near Walsenberg, Colorado",Varney Air Lines,Lockheed Vega,1,1,0
366,06-05-1935,"Atlanta, Missouri",Trans Continental and Western Air,Douglas DC-2-112,5,14,0
367,18-05-1935,"Flint, Michigan",Knowles Flying Service of Detroit,Ford model 4-AT-E,3,12,0
368,18-05-1935,"Near Moscow, Russia",Gor'ky Eskadril'ya,Tupolev ANT-20 / I-5,50,50,2
369,27-05-1935,"Glendo, Wyoming",Wyoming Air Service,Boeing 221,1,1,0
370,28-05-1935,"Maywood, Illinois",Chicago and Southern Airlines,Stinson SM6000B Tri-motor,2,2,0
371,29-05-1935,"San Barbra, Honduras",?,?,6,9,0
372,24-06-1935,"Medellin, Colombia",Servicio Aereo Columbiano / SCADTA,Ford Tri-Motor / Ford Tri-Motor,17,20,0
373,14-07-1935,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Fokker F-XXII,6,20,0
374,19-07-1935,"Off Chandeleur Island, Mississippi",Wedell-Williams Air Service Corporation,General 102-E,2,2,0
375,20-07-1935,"Pian Giacomo, Switzerland",KLM Royal Dutch Airlines,Douglas DC-2,13,13,0
376,13-08-1935,"Hangow, China",China National Aviation Corporation,Sikorsky S-38B,NA,NA,NA
377,14-08-1935,"Near Gilmer, Texas",Delta Air Lines,Stinson Model A,4,4,0
378,15-08-1935,"Near Glendo, Wyoming",Aero Mayflower Transit Co,"Waco, model YLC",3,3,0
379,15-08-1935,"Walakpa, near Point Barrow, Alaska",Private,Lockheed Orion 9E Explorer float plane,2,2,0
380,01-09-1935,"Burbank, California",Western Air Express,Boeing 247,3,3,0
381,13-09-1935,"Near Tambo, Panama",Panama Airways,Ford Tri-Motor,8,8,0
382,02-10-1935,"Off Finders Island, Victoria, Australia",Holyman Airways,de Havilland DH-86,5,5,0
383,07-10-1935,"Near Cheyenne, Wyoming",United Air Lines,Boeing 247D,12,12,0
384,09-10-1935,Gulf of Finland,Aero O-Y,Junkers F-13,6,6,0
385,21-10-1935,"Troy, New York",Chamberlin Flying Service,Curtiss AT-32C Condor,1,6,0
386,30-10-1935,"Cheyenne, Wyoming",United Air Lines,Boeing B-247-D,4,4,0
387,02-11-1935,"Off Nhambupe, Brazil",Air France,Lat????co????re 28-1,4,4,0
388,09-11-1935,"Near Fort Worth, Texas",Braniff Airlines,Lockheed Vega,1,1,0
389,09-11-1935,"Near Juticalpa, Honduras",TACA,Ford Tri-Motor,14,14,0
390,11-11-1935,"Istres, France",Air France,Latecoere 28,3,3,0
391,04-12-1935,"Tours, France",Air Bleu,Caudron C-630 Simoun,1,2,0
392,10-12-1935,"Croydon, England",Sabena,Savoia-Marchetti SM73,11,11,0
393,24-12-1935,"Breslau, Germany",Deutsche Lufthansa,Heinkel He-70,3,3,0
394,31-12-1935,"Off Alexandria, Egypt",Imperial Airways,Short Calcutta,12,13,0
395,14-01-1936,"Goodwin, Arkansas",American Airlines,Douglas DC-2-120,17,17,0
396,17-01-1936,"Near Cordillera, Boliva",Lloyd Aereo Boliviano,Junkers JU-52,13,13,0
397,21-01-1936,"Off Ajaccio, Corsica, France",Air France,CAMS 53,6,6,0
398,29-01-1936,"Denton, Texas",American Airlines,Vultee V-1,1,6,0
399,10-02-1936,Atlantic Ocean,Air France,Latecoere 301 (flying boat),6,6,0
400,15-02-1936,South Atlantic Ocean,Deutsche Lufthansa,Dormier Do-J-Iif Bos Wal,4,4,0
401,05-03-1936,"Near Tengya, China",China National Aviation Corporation,Ford 5-AT-D Tri-Motor,0,6,0
402,26-03-1936,"Amemeca, Mexico",Compania de Mexico,Ford 5-AT-B Tri Motor,14,14,0
403,01-04-1936,"Pavillon, New York",American Airlines,Stinson Model A,2,2,0
404,07-04-1936,"Uniontown, Pennsylvania",Trans Continental and Western Air,Douglas DC-2-112,13,15,0
405,11-04-1936,"Port of Spain, Trinidad",Pan American Airways,Sikorsky S-42A,3,25,0
406,15-04-1936,"Near Turin, Italy",Avio Linee Italiane,OFM F-VIIb/3m,7,7,0
407,17-04-1936,Switzerland,Deutsche Lufthansa,Junkers JU-52,3,5,0
408,21-04-1936,"Senlis, France",Sabena,Fokker F-VII,2,2,0
409,30-04-1936,"Basel, Switzerland",Swissair,General Aviation GA-43,2,2,0
410,16-05-1936,"Mount Waverley, Australia",Holyman Airways,De Havilland DH-60,2,2,0
411,09-06-1936,"Malmo, Sweden",A B Aerotransport,Fokker F-XXII,1,15,0
412,13-06-1936,"Hannover, Germany",Deutsche Lufthansa,Junkers JU-160,1,6,0
413,16-06-1936,"Mt. Lihesten, Norway",Den Norske Luftfartskole,Junkers JU-52/3m,7,7,0
414,31-07-1936,"Off Channel Islands, Jersey",Guernsey Airways,Saro Cloud,7,7,0
415,02-08-1936,"Mazamet, France",Air France,Wibault 280,3,3,0
416,03-08-1936,Mexico,Mexicana,Lockheed Orion,1,1,0
417,05-08-1936,"St. Louis, Missouri",Chicago Southern Airlines,Lockheed 10B Electra,8,8,0
418,06-08-1936,"Choco, Colombia",SCADTA,Junkers F-13,2,2,0
419,12-08-1936,"Altenkirchen, Germany",British Airways,De Havilland DH-86,2,2,0
420,22-08-1936,"Mirabella, Greece",Imperial Airways,Short Kent,2,11,0
421,05-09-1936,"Near Pittsburgh, Pennsylvania",Pittsburgh Skyways Inc.,Stinson SM 6000B,10,11,0
422,25-09-1936,English Channel,Imperial Airways,Boulton and Paul P-71,2,2,0
423,28-09-1936,"Benghazi, Libya",Ala Littoria SA,Cant Z-506 (float plane),9,10,0
424,28-09-1936,"Walsenberg, Colorado",Varney Air Lines,Lockheed Vega,3,3,0
425,29-09-1936,"Napierville, Illinois",Blue Bird Air Service,Lockheed Vega 5C,4,4,0
426,06-10-1936,Mexico,Mexicana,Lockheed Orion,1,1,0
427,09-10-1936,?,North Sea Aerial and General Transport,Blackburn B-2,1,1,0
428,01-11-1936,"Near Tabarz, Germany",Deutsche Lufthansa,Junkers JU-52,11,15,0
429,17-11-1936,"Nurnberg, Germany",Deutsche Lufthansa,Junkers JU-52/3m,4,16,0
430,19-11-1936,"London, England",British Airways,Fokker F-XII,2,4,0
431,04-12-1936,"Near Grenoble, France",Deutsche Lufthansa,Junkers JU-52/3m,6,6,0
432,06-12-1936,Near Moscow,Deruluft,Antonov AN-9,9,14,0
433,07-12-1936,"Off Dakar, French West Africa",Air France,Lat????co????re 300,5,5,0
434,09-12-1936,"Croydon, England",KLM Royal Dutch Airlines,Douglas DC-2-115E,15,17,0
435,15-12-1936,"Near Salt Lake City, Utah",Western Air Express,Boeing 247D,7,7,0
436,18-12-1936,"Kellogg, Idaho",Northwest Orient Airlines,Lockheed 10 Electra,2,2,0
437,19-12-1936,"Near Milford, Pennsylvania",Eastern Air Lines,Douglas DC-2-112,14,14,0
438,23-12-1936,"Near Dallas, Texas",Braniff Airways,Lockheed 10 Electra,6,6,0
439,26-12-1936,"Nanking, China",China National Aviation Corporation,Douglas DC-2,NA,NA,NA
440,27-12-1936,"Newhall, California",United Air Lines,Boeing 247-D,12,12,0
441,11-01-1937,"Near Playa V icente, Veracruz, Mexico",Mexicana,Lockheed 10E Electra,9,9,0
442,12-01-1937,"Near Newhall, California",Western Air Express,Boeing 247B,5,13,0
443,26-01-1937,"Oran, Algeria",Sabena,Sabca S-73,12,12,0
444,09-02-1937,"Off San Francisco, California",United Air Lines,Douglas DC-3A,11,11,0
445,19-02-1937,"McPherson Ranges, Queensland, Australia",Airlines of Australia,Stinson Model A,5,7,0
446,12-03-1937,"Bathurst, Gambia",Deutsche Lufthansa,Heinkel He-111V2,4,4,0
447,24-03-1937,"Near Ouroux, France",Imperial Airways,Short  S-23 (flying boat),5,6,0
448,25-03-1937,"Clifton, Pennsylvania",Trans Continental and Western Air,Douglas DC-2-112,13,13,0
449,26-03-1937,"Wetnum, Germany",Deutsche Lufthansa,Junkers JU-52/3m,2,6,0
450,06-05-1937,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,Zeppelin LZ-129,35,97,1
451,20-05-1937,"Stuttgart, Germany",Deutsche Lufthansa,Heinkel He-70,4,4,0
452,02-06-1937,Chile,Linea Aerea Nacional de Chile,Sirkorsky S-43 (flying boat),9,9,0
453,02-07-1937,"Off Lae, New Guinea",Private - Purdue Reasearch Foundation,Lockheed 10E Electra,2,2,0
454,28-07-1937,"Hal, Belgium",KLM Royal Dutch Airlines,Douglas DC-2-115L,15,15,0
455,02-08-1937,"Wadi Halfa, Sudan",Ala Littoria,Savoia-Marchetti SM73,9,9,0
456,03-08-1937,"Off Cristobal, Panama",Pan American Grace Airways,Sikorsky S-43,14,14,0
457,08-08-1937,"Chilang Point, Bias Bay, China",China National Aviation Corporation,Sikorsky S-43,3,11,0
458,10-08-1937,"Daytona Beach, Florida",Eastern Air Lines,Douglas DC-2,4,9,0
459,23-08-1937,"San Luis, Argentina",Pan American Grace Airways,Douglas DC-2,3,3,0
460,27-08-1937,"Wau, Australia",Guinea Airways,Stinson SR-7 Reliant,1,2,0
461,01-10-1937,"Phaleron Bay, Greece",Imperial Airways,Short Empire Flying Boat,2,14,0
462,06-10-1937,"Palembang, Netherlands Indies",KLM Royal Dutch Airlines,Douglas DC-3,4,11,0
463,17-10-1937,"Haydens Peak, Wyoming",United Air Lines,Douglas DC-3,19,19,0
464,26-10-1937,Off Western Africa,Air France,Dewoitine D-333,6,6,0
465,12-11-1937,"Mannheim, Germany",Deutsche Lufthansa,Heinkel He-111,10,12,0
466,16-11-1937,"Ostende, Belgium",Sabena,Junkers JU-52/3m,11,11,0
467,26-11-1937,"Croydon, London",Deutsche Lufthansa,Junkers JU-52,3,3,0
468,05-12-1937,"Brindisi Harbor, Italy",Imperial Airways,Short Empire Flying Boat,2,19,0
469,08-12-1937,"Saint Sauveur, France",Air France,Potez 621,2,7,0
470,24-12-1937,"Kasperske Hory, Czechoslovakia",Air France,Wibault 283-T12,3,3,0
471,04-01-1938,"Frankfurt, Germany",Deutsche Lufthansa,Junkers JU-52/3m,6,6,0
472,10-01-1938,"Bozeman, Montana",Northwest Orient Airlines,Lockheed 14H Super Electra,10,10,0
473,11-01-1938,"Pago Pago, U.S. Samoa",Pan American World Airways,Sikorsky S-42 (flying boat),7,7,0
474,12-01-1938,"North Pine, Ontario, Canada",General Airways,Stinson Reliant,1,1,0
475,02-02-1938,"Off San Clemente Island, California",Military - U.S. Navy / Military - U.S. Navy,Consolidated PBY-2 / Consolidated PBY-2,11,14,0
476,05-02-1938,"Kandalaksha, Russia",TsAGI,V6 (airship),13,19,0
477,09-02-1938,"Marseille, France",Air France,Lior????-et-Olivier H-242,8,12,0
478,09-02-1938,"Guadalupe, Mexico",Mexicana,Lockheed 10 Electra,2,2,0
479,13-02-1938,Mediterranean Sea,Ala Littoria SA,Cant Z-506,14,14,0
480,22-02-1938,"Pontoise, France",Deutsche Lufthansa,Junkers JU.52,3,3,0
481,01-03-1938,"Near Wawona, Cailifornia",Trans Continental and Western Air,Douglas DC-2-112,9,9,0
482,07-03-1938,"Datia, India",Air France,Potez 621,7,7,0
483,08-03-1938,"Somerton, Australia",Australian National Airways,De Havilland DH-60,1,1,0
484,23-03-1938,"Corsavy, France",Air France,Dewoitine D-338,8,8,0
485,30-04-1938,"Near Formia, Italy",Ala Littoria,Junkers JU-52,19,19,0
486,05-05-1938,"Balbuena, Mexico",Lineas A????reas Mineras,Lockheed Vega 5B,1,6,0
487,10-05-1938,"Mangere, New Zealand",United Airways of New Zealand,Lockheed 10 Electra,2,2,0
488,16-05-1938,"Near Saugus, California",Northwest Orient Airlines,Lockheed 14-H2 Super Electra,9,9,0
489,22-05-1938,"Sao Paulo, Brazil",Cruzeiro do Sul,Junkers JU-52/3m,2,17,0
490,24-05-1938,"Cleveland, Ohio",United Air Lines,Douglas DST-A-207A,10,10,0
491,27-05-1938,Germany,Deutsche Lufthansa,Heinkel 116,3,3,0
492,27-05-1938,"Alberno Canal, BC, Canada",Ginger Coote Airways,Fairchild 51,1,1,0
493,08-06-1938,Tanganyika,Wilson Airways,De Havilland DH-85,3,3,0
494,19-06-1938,"Mount  Mercedario, Chile",Pan American Grace Airways,Douglas DC-2,4,4,0
495,08-07-1938,"Billings, Montana",Northwest Orient Airlines,Lockheed 14 Super Electra,10,10,0
496,14-07-1938,"Off Sardinia, Italy",Ala Littoria,Savoia Marchetti S-66,20,20,0
497,22-07-1938,"Stulpica, Romania",LOT Polish Airlines,Lockheed 14H Super Electra,14,14,0
498,24-07-1938,Near Bogota Colombia,Military - Colombian Army,Curtiss-Wright Hawk,1,1,52
499,27-07-1938,"Kisumu, Kenya",Imperial Airways,Armstrong-Withworth Atlanta,4,4,0
500,29-07-1938,Pacific Ocean between Manila and Guam,Pan American World Airways,Martin M-130 (flying boat),15,15,0
501,10-08-1938,"Debrecen, Hungary",Magyar Legiforagalmi,Ford Tri-motor F-VIII,12,12,0
502,10-08-1938,"Shishijima, Japan",Dai Nippon,Douglas DF-151,6,6,0
503,12-08-1938,"Near San Andres Tuxtla, VeraCruz, Mexico",Mexicana,Lockheed 10E Electra,11,11,0
504,13-08-1938,"Kiel, Germany",CSA Czech Airlines,Savoia-Marchetti SM73,16,17,0
505,15-08-1938,"Guanabara, Brazil",Syndicato Condor,Junkers JU-52/3m,9,9,0
506,18-08-1938,"Bucharest, Romania",LOT Polish Airlines,Lockheed 14 Electra,7,7,0
507,18-08-1938,"Montnago, Italy",Macchi,Macchi C-94,15,15,0
508,24-08-1938,"Tokyo, Japan",Japan Air / Japan Flying School,Unknown / Unknown,5,5,53
509,24-08-1938,"Wangmoon, China",China National Aviation Corporation,Douglas DC-2,14,17,0
510,29-08-1938,"Innisfail, Australia",North Queensland Airways,De Havilland DH-84,5,9,0
511,29-08-1938,"Near Tucumcari, New Mexico",Transcontinental &Western Air,Ford Tri-motor,5,5,0
512,01-10-1938,"Off Bathurst, Gambia",Deutsche Lufthansa,Dornier DO.18,4,4,0
513,01-10-1938,"Grisons, Switzerland",Deutsche Lufthansa,Junkers JU-52/3m,14,14,0
514,10-10-1938,"Soest, Germany",Sabena,Savbia-Marchetti  S-73P,20,20,0
515,25-10-1938,"Mt. Dandenong, Australia",Australian National Airways,Douglas DC-2-112,18,18,0
516,02-11-1938,"Somerset, England",British Airways,Lockheed 14 Electra,2,2,0
517,04-11-1938,"Channel Islands, Jersey",Jersey Airways,de Havilland DH-86,14,14,1
518,14-11-1938,"Schiphol, Amsterdam",KLM Royal Dutch Airlines,Douglas DC-3,6,19,0
519,18-11-1938,"Regina, Saskatchewan, Canada",Trans Canada Air Lines,Lockheed 14 Electra,2,2,0
520,26-11-1938,"Bathurst, Gambia",Deutsche Lufthansa,Junkers JU90V2,11,15,0
521,27-11-1938,"Bagdad, Iraq",Imperial Airways,Short Empire Flying Boat,4,6,0
522,29-11-1938,"Off Point Reyes, California",United Air Lines,Douglas DC 3-A-SB-3-G-14,5,7,0
523,02-12-1938,"Mexico City, Mexico",Mexicana,Lockheed 10E Electra,8,8,0
524,08-12-1938,East China Sea,Japan Aviation Corporation,Nakajima A-T2,10,15,0
525,08-12-1938,"Off Kubashima, Japan",Japan Aviation Corporation,Nakajima DC-2,10,12,0
526,09-12-1938,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Lockheed 14-WF62 Super Electra,4,4,0
527,12-12-1938,"Darwin, Australia",Qantas,Short S23 ??????C?????? Class flying boat,13,13,0
528,07-01-1939,"Paris, France",Swissair,Douglas DC-2-115B,5,9,0
529,13-01-1939,"Miles City, Montana",Northwest Orient Airlines,Lockheed 14-H Super Electra,4,4,0
530,13-01-1939,"Rio de Janeiro, Brazil",Syndicato Condor,Junkers JU-52/3m,9,9,0
531,18-01-1939,"Katherine, Australia",Guinea Airways,Lockheed 14 Electra,4,4,0
532,21-01-1939,Atlantic Ocean between N.Y. and Bermuda,Imperial Airways,Short S-23 (flying boat),3,13,0
533,12-02-1939,Alaska,Marine Airways,Fairchild 71(amphibious),6,6,0
534,24-02-1939,"Near Roubien, France",Deutsche Lufthansa,Junkers JU-52/3m,10,10,0
535,14-03-1939,"Haren, Belgium",Sabena,Junkers JU-52,3,3,0
536,16-03-1939,"Manzanares, Colombia",Deutsche Lufthansa,Junkers JU-86,8,8,0
537,18-03-1939,"Near Adler, Washington",Boeing Aircraft Company,Boeing 307 Stratoliner,10,10,0
538,26-03-1939,"Oklahoma City, Oklahoma",Braniff Airlines,Douglas DC-2-112,8,12,0
539,03-04-1939,"Near Marrakech, Morocco",Air France,Caudron C.635 Simoun,9,9,0
540,01-05-1939,Mocambique,Imperial Airways,Short Empire Flying Boat,2,6,0
541,02-05-1939,"Near Marrakech, Morocco",Air France,Dewoitine D-338,9,9,0
542,08-05-1939,"Guayaquil, Ecuador",Military - Ecuadorian Air Force,Curtiss-Wright C-14 Osprey,1,1,22
543,06-06-1939,"Schiphol, Amsterdam",KLM Royal Duch Airlines,Douglas DC-2,0,4,1
544,10-06-1939,"Vlissingen, The Netherlands",KLM Royal Dutch Airlines,Koolhoven FK.43,3,3,0
545,20-07-1939,"Konstanz, Switzerland",Swissair,Junkers JU86 Z-2,6,6,0
546,04-08-1939,"Barcelona, Spain",Deutsche Lufthansa,Junkers JU-52/3m,7,7,0
547,13-08-1939,"Rio de Janerio, Brazil",Pan American World Airways,Sikorsky S43 (flying boat),14,16,0
548,15-08-1939,"Off Copenhagen, Denmark",British Airways,Lockheed 10 Electra,5,6,0
549,28-08-1939,"Lahore, India",Indian National Airways,De Havilland D-84,2,2,0
550,30-08-1939,"Hannover, Germany",Deutsche Lufthansa,Junkers JU-52/3m,7,7,0
551,26-09-1939,North Sea,KLM Royal Dutch Airlines,Douglas DC-3,1,20,0
552,20-11-1939,"Gosport, England",British Airways,Airspeed Oxford,2,2,NA
553,18-12-1939,South of Gibraltar,Iberia Airlines,Junkers JU-52,10,10,0
554,21-12-1939,Off Malta-Luqa,Imperial Airways,Lockheed 14 Super Electra,5,11,0
555,24-12-1939,"Mogador, Morocco",Linee Aeree Italiane,Savoia-Marchetti SM83,7,7,0
556,22-01-1940,"Denpasar, Indonesia",KNILM,Lockheed 14 Super Electra,8,9,0
557,10-02-1940,"Near Cosenza, Italy",Ala Littoria SA,Savoia-Marchetti SM-75,10,10,0
558,27-02-1940,"Near Bucaramanga, Columbia",SCADTA,Boeing 247D,11,11,0
559,01-03-1940,Gulf of Oman,Imperial Airways,Handley Page HP-42,8,8,0
560,16-03-1940,"Stromboli Island, Italy",Aviolinee,Savoia Marchetti SM 73,5,5,0
